# time	Ne
0.000000000000000000e+00	3.000000000000000000e+02
2.084139205971687906e-39	3.000000000000000000e+02
4.168278411943375812e-39	3.000000000000000000e+02
2.084556033812882113e-35	3.000000000000000000e+02
4.168695239784569892e-35	3.000000000000000000e+02
6.252834445756257403e-35	3.000000000000000000e+02
2.709422650547313252e-34	3.000000000000000000e+02
4.793561856519000870e-34	3.000000000000000000e+02
6.877701062490688916e-34	3.000000000000000000e+02
2.771909312220756766e-33	3.000000000000000000e+02
4.856048518192444128e-33	3.000000000000000000e+02
6.940187724164132174e-33	3.000000000000000000e+02
2.778157978388100990e-32	3.000000000000000000e+02
4.862297184359788762e-32	3.000000000000000000e+02
6.946436390331475987e-32	3.000000000000000000e+02
2.778782845004835043e-31	3.000000000000000000e+02
4.862922050976522705e-31	3.000000000000000000e+02
6.947061256948210368e-31	3.000000000000000000e+02
2.778845331666508787e-30	3.000000000000000000e+02
4.862984537638196450e-30	3.000000000000000000e+02
6.947123743609884463e-30	3.000000000000000000e+02
2.778851580332676179e-29	3.000000000000000000e+02
4.862990786304363772e-29	3.000000000000000000e+02
6.947129992276051925e-29	3.000000000000000000e+02
2.778852205199292673e-28	3.000000000000000000e+02
4.862991411170980378e-28	3.000000000000000000e+02
6.947130617142668083e-28	3.000000000000000000e+02
2.778852267685954692e-27	3.000000000000000568e+02
4.862991473657642577e-27	3.000000000000001137e+02
6.947130679629330461e-27	3.000000000000001705e+02
2.778852273934620930e-26	3.000000000000004547e+02
4.862991479906308958e-26	3.000000000000007390e+02
6.947130685877997560e-26	3.000000000000010232e+02
2.778852274559487439e-25	3.000000000000040359e+02
4.862991480531175352e-25	3.000000000000070486e+02
6.947130686502863265e-25	3.000000000000100613e+02
2.778852274621974331e-24	3.000000000000400178e+02
4.862991480593662611e-24	3.000000000000699742e+02
6.947130686565351259e-24	3.000000000000999307e+02
2.778852274628222892e-23	3.000000000003992682e+02
4.862991480599910658e-23	3.000000000006986056e+02
6.947130686571599011e-23	3.000000000009979431e+02
2.778852274628847432e-22	3.000000000039910901e+02
4.862991480600535198e-22	3.000000000069842372e+02
6.947130686572222964e-22	3.000000000099773843e+02
9.031269892543910730e-22	3.000000000129705313e+02
2.987266195226078839e-21	3.000000000429021725e+02
5.071405401197766229e-21	3.000000000728338136e+02
7.155544607169453618e-21	3.000000001027654548e+02
9.239683813141141008e-21	3.000000001326970960e+02
3.008107587285802092e-20	3.000000004320135076e+02
5.092246793257489482e-20	3.000000007313300330e+02
7.176385999229176872e-20	3.000000010306466152e+02
9.260525205200864262e-20	3.000000013299633110e+02
1.060315856910588265e-19	3.000000015227876133e+02
1.328842529691591942e-19	3.000000019084363316e+02
1.597369202472595620e-19	3.000000022940852205e+02
1.865895875253599297e-19	3.000000026797342230e+02
4.551162603063635831e-19	3.000000065362330588e+02
7.236429330873672605e-19	3.000000103927475266e+02
9.921696058683708416e-19	3.000000142492776263e+02
2.103719960837036264e-18	3.000000302133229866e+02
3.215270315805701686e-18	3.000000461776360225e+02
4.326820670774367493e-18	3.000000621422166773e+02
5.438371025743032530e-18	3.000000781070649509e+02
1.266176614750357358e-17	3.000001818609378574e+02
1.988516126926411617e-17	3.000002856261094166e+02
2.710855639102465722e-17	3.000003894025767863e+02
3.433195151278519827e-17	3.000004931903372380e+02
1.065659027303906088e-16	3.000015316884449135e+02
1.787998539479960192e-16	3.000025713127876656e+02
2.510338051656014421e-16	3.000036120605803944e+02
3.232677563832068402e-16	3.000046539290444798e+02
4.915197968977207568e-16	3.000070850469354014e+02
6.597718374122346240e-16	3.000095221950754762e+02
8.280238779267485898e-16	3.000119653387687322e+02
9.962759184412625556e-16	3.000144144435103044e+02
1.164527958955776521e-15	3.000168694749773977e+02
1.417064919061034738e-15	3.000205653898727860e+02
1.669601879166292954e-15	3.000242744652891247e+02
1.922138839271551170e-15	3.000279965874789241e+02
2.174675799376809386e-15	3.000317316436231181e+02
2.554370366687695001e-15	3.000373714747992722e+02
2.934064933998580615e-15	3.000430399147334128e+02
3.313759501309466230e-15	3.000487365920732827e+02
3.693454068620351845e-15	3.000544611399763539e+02
4.073148635931237460e-15	3.000602131958522136e+02
4.744459213101683471e-15	3.000704492061031488e+02
5.415769790272129483e-15	3.000807681453240434e+02
6.087080367442575494e-15	3.000911681077316757e+02
6.758390944613021506e-15	3.001016472287349757e+02
7.640947371131364711e-15	3.001155412635025073e+02
8.523503797649708705e-15	3.001295649161019128e+02
9.406060224168052699e-15	3.001437142745024289e+02
1.028861665068639669e-14	3.001579855348230126e+02
1.117117307720474069e-14	3.001723749935122783e+02
1.282248602016321981e-14	3.001996036199033711e+02
1.447379896312169736e-14	3.002272110105911906e+02
1.612511190608017648e-14	3.002551756702433750e+02
1.777642484903865560e-14	3.002834772341061580e+02
1.991703935222537664e-14	3.003206347910943919e+02
2.205765385541209767e-14	3.003582864867667581e+02
2.419826835859881871e-14	3.003963958979826998e+02
2.633888286178553974e-14	3.004349289935443608e+02
2.847949736497225762e-14	3.004738538477872680e+02
3.235262874704342262e-14	3.005451834426025357e+02
3.622576012911458761e-14	3.006175389500381243e+02
4.009889151118575260e-14	3.006907796609443722e+02
4.397202289325691759e-14	3.007647818400847655e+02
4.784515427532808258e-14	3.008394365013015204e+02
5.351905937835496399e-14	3.009497809709063745e+02
5.919296448138185171e-14	3.010610630239909824e+02
6.486686958440873943e-14	3.011730690039713068e+02
7.054077468743562715e-14	3.012856216584310687e+02
7.621467979046251487e-14	3.013985738625441968e+02
8.433507104011984470e-14	3.015606843007860220e+02
9.245546228977717454e-14	3.017230812507107771e+02
1.005758535394345044e-13	3.018855494093516540e+02
1.086962447890918342e-13	3.020479245563773816e+02
1.168166360387491767e-13	3.022100814197827390e+02
1.271360437177965922e-13	3.024156870787124944e+02
1.374554513968440078e-13	3.026206469849151972e+02
1.477748590758914234e-13	3.028248659724147842e+02
1.580942667549388389e-13	3.030282792335709132e+02
1.684136744339862545e-13	3.032308431847080783e+02
1.823147375623254804e-13	3.035023215831898824e+02
1.962158006906647062e-13	3.037721722815037992e+02
2.101168638190039321e-13	3.040403839583601666e+02
2.240179269473431580e-13	3.043069595692310827e+02
2.379189900756823838e-13	3.045719107329220492e+02
2.584816563311237010e-13	3.049608886776984491e+02
2.790443225865650182e-13	3.053464203140561040e+02
2.996069888420063354e-13	3.057285840800133769e+02
3.201696550974476526e-13	3.061074597507028443e+02
3.407323213528889697e-13	3.064831264165144376e+02
3.774492238364419577e-13	3.071461838307774315e+02
4.141661263199948952e-13	3.077996900351747627e+02
4.508830288035478327e-13	3.084440567812656013e+02
4.875999312871007701e-13	3.090796728508002502e+02
5.243168337706537076e-13	3.097069054522175975e+02
5.825144317047127970e-13	3.106847629050888031e+02
6.407120296387718863e-13	3.116437210954645138e+02
6.989096275728309757e-13	3.125849681068072528e+02
7.571072255068900650e-13	3.135095969603679009e+02
8.153048234409491544e-13	3.144186149639211294e+02
8.911497220487403771e-13	3.155813759657609694e+02
9.669946206565314989e-13	3.167210789005459333e+02
1.042839519264322722e-12	3.178394250435504205e+02
1.118684417872113944e-12	3.189379578625200224e+02
1.194529316479905167e-12	3.200180811451543264e+02
1.300809840754721748e-12	3.215030960464342797e+02
1.407090365029538127e-12	3.229576210046688516e+02
1.513370889304354506e-12	3.243844460105670464e+02
1.619651413579170885e-12	3.257860491562356628e+02
1.725931937853987263e-12	3.271646407635577702e+02
