# time	Ne
0.000000000000000000e+00	1.000000000000000000e+21
1.239398726378604907e-37	1.000000000000000000e+21
2.478797452757209814e-37	1.000000000000000000e+21
1.239646606123880668e-33	1.000000000000000000e+21
2.479045332502485363e-33	1.000000000000000000e+21
3.718444058881090401e-33	1.000000000000000000e+21
1.611243132266714078e-32	1.000000000000000000e+21
2.850641858645319253e-32	1.000000000000000000e+21
4.090040585023923880e-32	1.000000000000000000e+21
1.648402784880997125e-31	1.000000000000000000e+21
2.887801511259602190e-31	1.000000000000000000e+21
4.127200237638206817e-31	1.000000000000000000e+21
1.652118750142425484e-30	1.000000000000000000e+21
2.891517476521030287e-30	1.000000000000000000e+21
4.130916202899635089e-30	1.000000000000000000e+21
1.652490346668568381e-29	1.000000000000000000e+21
2.891889073047173324e-29	1.000000000000000000e+21
4.131287799425777986e-29	1.000000000000000000e+21
1.652527506321182517e-28	1.000000000000000000e+21
2.891926232699787516e-28	1.000000000000000000e+21
4.131324959078392290e-28	1.000000000000000000e+21
1.652531222286444093e-27	1.000000000000000000e+21
2.891929948665048868e-27	1.000000000000000000e+21
1.528591721245109697e-26	1.000000000000000000e+21
2.767990447623714472e-26	1.000000000000000000e+21
1.516197771140976164e-25	1.000000000000000131e+21
2.755596497519580939e-25	1.000000000000000262e+21
1.514958376130562731e-24	1.000000000000001049e+21
2.754357102509167643e-24	1.000000000000001835e+21
1.514834436629521677e-23	1.000000000000009830e+21
2.754233163008126442e-23	1.000000000000017826e+21
1.514822042679417233e-22	1.000000000000097911e+21
2.754220769058021646e-22	1.000000000000177996e+21
3.993619495436626294e-22	1.000000000000258081e+21
1.638760675922267371e-21	1.000000000001059062e+21
2.878159402300872019e-21	1.000000000001860043e+21
4.117558128679477043e-21	1.000000000002661024e+21
1.651154539246552202e-20	1.000000000010670309e+21
2.890553265625156548e-20	1.000000000018679595e+21
4.129951992003760895e-20	1.000000000026688881e+21
1.652393925578980557e-19	1.000000000106781868e+21
2.891792651957585144e-19	1.000000000186874855e+21
4.131191378336189732e-19	1.000000000266967712e+21
1.652517864212223513e-18	1.000000001067892998e+21
2.891916590590828100e-18	1.000000001868811993e+21
4.131315316969432495e-18	1.000000002669724566e+21
1.652530258075547722e-17	1.000000010678500590e+21
2.891928984454152502e-17	1.000000018686640521e+21
4.131327710832757282e-17	1.000000026694144623e+21
5.370726437211362062e-17	1.000000034701012763e+21
1.776471370099740863e-16	1.000000114734731493e+21
3.015870096478345273e-16	1.000000194704913465e+21
4.255268822856949930e-16	1.000000274611605078e+21
5.494667549235554587e-16	1.000000354454852993e+21
1.788865481302160313e-15	1.000001149408141771e+21
3.028264207680764772e-15	1.000001938068015677e+21
4.267662934059369232e-15	1.000002720480503792e+21
5.507061660437973692e-15	1.000003496691338838e+21
6.746460386816578151e-15	1.000004266745955615e+21
1.914044765060262433e-14	1.000011638487369646e+21
3.153443491438867050e-14	1.000018442432557744e+21
4.392842217817471352e-14	1.000024719324676358e+21
5.632240944196075654e-14	1.000030507238757368e+21
6.871639670574679956e-14	1.000035841716152435e+21
1.327211240944230289e-13	1.000057352462098760e+21
1.967258514830992331e-13	1.000071239841664598e+21
2.607305788717754372e-13	1.000080020181501608e+21
3.247353062604516413e-13	1.000085381312642941e+21
3.887400336491278455e-13	1.000088442391956029e+21
4.836453170861370907e-13	1.000090257194865525e+21
5.785506005231464370e-13	1.000090041036764086e+21
6.734558839601557832e-13	1.000088654816451756e+21
7.683611673971651294e-13	1.000086535935142920e+21
8.632664508341744757e-13	1.000083943284110000e+21
9.581717342711838219e-13	1.000081031202194063e+21
1.102628360723037705e-12	1.000076182835149406e+21
1.247084987174891589e-12	1.000071001059709682e+21
1.391541613626745473e-12	1.000065586202513375e+21
1.535998240078599356e-12	1.000059995161561137e+21
1.680454866530453240e-12	1.000054262036306199e+21
1.824911492982307325e-12	1.000048408446467310e+21
2.084679345394652540e-12	1.000037620881293705e+21
2.344447197806997754e-12	1.000026541551830041e+21
2.604215050219342969e-12	1.000015200724392608e+21
2.863982902631688183e-12	1.000003617549024887e+21
3.123750755044033397e-12	9.999918053114829865e+20
3.383518607456378612e-12	9.999797735521550336e+20
3.826438387625558463e-12	9.999587717339700265e+20
4.269358167794737910e-12	9.999371772344917033e+20
4.712277947963917357e-12	9.999150064629391032e+20
5.155197728133096804e-12	9.998922704529189765e+20
5.598117508302276251e-12	9.998689766959968420e+20
6.041037288471455699e-12	9.998451300108649103e+20
6.780030075022616789e-12	9.998041194930106532e+20
